#ZVView-data-copy:   6-Feb-2012 13:45:14
#=======================================
#
#name:   ENDF/B-VII.0: GD-155(N,G)GD-156
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  9789
#data...
#            X            Y
#          MeV        barns
    1.02317e-5      24.1988
    1.02389e-5      22.9116
    1.02461e-5      21.7541
    1.02533e-5      20.7109
    1.02605e-5      19.7687
    1.02677e-5      18.9155
    1.02778e-5      17.8514
    1.02864e-5      17.0441
     1.0295e-5      16.3201
    1.03037e-5      15.6687
    1.03152e-5      14.8978
    1.03267e-5      14.2221
    1.03382e-5      13.6274
    1.03497e-5      13.1019
    1.03613e-5      12.6359
    1.03778e-5      12.0547
     1.0394e-5      11.5712
    1.04102e-5       11.158
    1.04264e-5      10.8039
    1.04426e-5      10.5004
    1.04642e-5      10.1622
    1.04858e-5       9.8883
    1.05074e-5      9.66861
     1.0529e-5      9.49544
    1.05513e-5      9.35906
    1.05743e-5      9.25836
    1.06089e-5      9.17464
    1.06319e-5      9.15932
    1.06594e-5      9.18007
    1.06869e-5      9.24128
    1.07144e-5       9.3419
    1.07418e-5      9.48192
    1.07693e-5      9.66225
    1.07968e-5      9.88475
    1.08243e-5      10.1523
    1.08518e-5      10.4689
    1.08785e-5      10.8283
    1.09051e-5      11.2453
    1.09318e-5      11.7278
    1.09585e-5      12.2859
    1.09852e-5      12.9325
    1.10052e-5      13.4853
    1.10252e-5      14.1058
    1.10453e-5      14.8047
    1.10653e-5      15.5954
     1.1081e-5      16.2902
    1.10967e-5       17.061
    1.11124e-5      17.9192
    1.11281e-5       18.879
    1.11438e-5      19.9574
    1.11595e-5      21.1756
    1.11713e-5      22.1967
     1.1183e-5      23.3247
    1.11956e-5      24.6642
    1.12097e-5      26.3692
    1.12191e-5      27.6423
    1.12286e-5      29.0421
     1.1238e-5      30.5869
    1.12474e-5      32.2981
    1.12568e-5      34.2011
    1.12662e-5      36.3258
    1.12741e-5      38.2911
    1.12819e-5      40.4586
    1.12898e-5      42.8554
    1.12976e-5      45.5121
